alpha,nu,phi_k,muxi,a,wss,els
0.25,0.6,0.0,0.01625,0.001,1.551459161753909,62.12991480821071
0.25,0.6,0.0,0.0325,0.001,1.5491821110637365,54.58990695733905
0.25,0.6,0.0,0.04875,0.001,1.5468750593142833,49.68532496206831
0.25,0.6,0.0,0.065,0.001,1.544817956352457,40.2317170803891
0.25,0.6,0.0,0.08125,0.001,1.5417543526976265,28.82650043210564
0.25,0.6,0.0,0.0975,0.001,1.5380561966662203,21.737521716788414
0.25,0.6,0.0,0.11375,0.001,1.5342663650525066,15.660682736336248
0.25,0.6,0.0,0.13,0.001,1.5295353918727406,12.402973246877545
0.25,0.6,0.0,0.14625,0.001,1.524298744045226,10.133118882151033
0.25,0.6,0.0,0.1625,0.001,1.518917156803671,8.80798861788815
0.25,0.6,0.0,0.17875000000000002,0.001,1.5132389881468025,6.984231094396775
0.25,0.6,0.0,0.195,0.001,1.507041072716745,6.627154690556114
0.25,0.6,0.0,0.21125,0.001,1.5007069253206609,6.177451999131374
0.25,0.6,0.0,0.2275,0.001,1.4940736343968555,6.355863677185609
0.25,0.6,0.0,0.24375000000000002,0.001,1.4873271109080528,5.744842474778138
0.25,0.6,0.0,0.26,0.001,1.4803840027400723,5.3147021950478
0.25,0.6,0.0,0.27625,0.001,1.4731501718304776,5.092114724154078
0.25,0.6,0.0,0.2925,0.001,1.4658030099566084,4.99230331216986
0.25,0.6,0.0,0.30875,0.001,1.458064425535515,4.852988968397216
0.25,0.6,0.0,0.325,0.001,1.4494310623696558,4.756099741911247
0.25,0.6,0.0,0.34125,0.001,1.4386492624444187,4.756016449672923
0.25,0.6,0.0,0.35750000000000004,0.001,1.4297979467713848,4.847923929744473
0.25,0.6,0.0,0.37375,0.001,1.4227644644825244,4.944106895972394
0.25,0.6,0.0,0.39,0.001,1.4159778996099115,5.037357179150925
0.25,0.6,0.0,0.40625,0.001,1.4094033040822347,5.141364651112829
0.25,0.6,0.0,0.4225,0.001,1.4031730559900981,5.2411903588865885
0.25,0.6,0.0,0.43875000000000003,0.001,1.3973845173754735,5.359334834763774
0.25,0.6,0.0,0.455,0.001,1.3920544351970303,5.470578386243307
0.25,0.6,0.0,0.47125,0.001,1.3871765949342274,5.538243775972036
0.25,0.6,0.0,0.48750000000000004,0.001,1.3827723699683834,5.6429222568515724
0.25,0.6,0.0,0.50375,0.001,1.3789163862609963,5.660421037633332
0.25,0.6,0.0,0.52,0.001,1.3758845889001026,5.68396021723679
0.25,0.6,0.0,0.53625,0.001,1.3730450993667116,5.842359056494955
0.25,0.6,0.0,0.5525,0.001,1.3701607251489558,5.89606284552013
0.25,0.6,0.0,0.56875,0.001,1.3671898656950645,5.971619442292243
0.25,0.6,0.0,0.585,0.001,1.364147253039908,6.0808814747076045
0.25,0.6,0.0,0.6012500000000001,0.001,1.3610391514416171,6.194791944946723
0.25,0.6,0.0,0.6175,0.001,1.3578655390049437,6.310315279611395
0.25,0.6,0.0,0.63375,0.001,1.3546078140055404,6.3976994948561705
0.25,0.6,0.0,0.65,0.001,1.3512588019595997,6.514591075466264
0.25,0.6,2.4,0.01625,0.001,1.5280880815472433,8.493426279465673
0.25,0.6,2.4,0.0325,0.001,1.525950830886132,8.358052251486537
0.25,0.6,2.4,0.04875,0.001,1.5236745700165597,8.057784042492942
0.25,0.6,2.4,0.065,0.001,1.5211793755866367,7.722042176256825
0.25,0.6,2.4,0.08125,0.001,1.518424168400632,7.433420759227316
0.25,0.6,2.4,0.0975,0.001,1.5153432032834484,7.167124365323617
0.25,0.6,2.4,0.11375,0.001,1.511960592474832,6.95465400506474
0.25,0.6,2.4,0.13,0.001,1.5080979490470021,6.573513774571894
0.25,0.6,2.4,0.14625,0.001,1.5037370504173184,6.293464681920723
0.25,0.6,2.4,0.1625,0.001,1.4988031275774445,6.047881078574577
0.25,0.6,2.4,0.17875000000000002,0.001,1.4933667784103792,5.828329757651524
0.25,0.6,2.4,0.195,0.001,1.487439513614453,5.288399426775803
0.25,0.6,2.4,0.21125,0.001,1.4809098206816935,5.149540751294185
0.25,0.6,2.4,0.2275,0.001,1.4741028960070832,4.949530943793055
0.25,0.6,2.4,0.24375000000000002,0.001,1.466935373899317,4.622053765355209
0.25,0.6,2.4,0.26,0.001,1.4594338779391556,4.732792354619971
0.25,0.6,2.4,0.27625,0.001,1.4517312682208272,4.834413147735815
0.25,0.6,2.4,0.2925,0.001,1.4439136907145145,4.639441389469483
0.25,0.6,2.4,0.30875,0.001,1.4355159401964463,4.838288338855393
0.25,0.6,2.4,0.325,0.001,1.4262446445916688,5.056762336326074
0.25,0.6,2.4,0.34125,0.001,1.4149118259712032,5.327276518638696
0.25,0.6,2.4,0.35750000000000004,0.001,1.4073028789401818,5.186146727900188
0.25,0.6,2.4,0.37375,0.001,1.400158830783762,5.379140280999188
0.25,0.6,2.4,0.39,0.001,1.393262284159635,5.5528179455914675
0.25,0.6,2.4,0.40625,0.001,1.3866707248086947,5.601504861452032
0.25,0.6,2.4,0.4225,0.001,1.3804765063934148,5.726493163829452
0.25,0.6,2.4,0.43875000000000003,0.001,1.3747604997097085,5.816866358539717
0.25,0.6,2.4,0.455,0.001,1.369510036433156,5.928914984254587
0.25,0.6,2.4,0.47125,0.001,1.3647244530603904,6.070946340355845
0.25,0.6,2.4,0.48750000000000004,0.001,1.3604331889284071,6.134606187632365
0.25,0.6,2.4,0.50375,0.001,1.3568589019561437,6.15315887080805
0.25,0.6,2.4,0.52,0.001,1.3536765745204418,6.272238946174804
0.25,0.6,2.4,0.53625,0.001,1.3504427991829293,6.393184855692621
0.25,0.6,2.4,0.5525,0.001,1.3471579838190018,6.515460228618673
0.25,0.6,2.4,0.56875,0.001,1.343821339934571,6.655815778164353
0.25,0.6,2.4,0.585,0.001,1.3404374044068044,6.783875633084469
0.25,0.6,2.4,0.6012500000000001,0.001,1.3369918400823004,6.890980755949835
0.25,0.6,2.4,0.6175,0.001,1.333476333540002,7.017167522514571
0.25,0.6,2.4,0.63375,0.001,1.32988218077605,7.144238125608515
0.25,0.6,2.4,0.65,0.001,1.3261868927394809,7.273847734975266
